sqft_living,bedrooms,bathrooms,floors,house_age,dist_to_city_km,quality_score,price
959,4,2.0,2.0,10,13.97,6,256153
3173,4,2.6,2.0,9,1.4,4,602494
2017,1,1.9,1.0,71,0.24,9,403973
818,5,3.7,1.5,45,13.07,3,208514
2036,3,2.3,2.0,57,1.9,5,396980
3041,2,1.5,2.0,7,14.91,10,555532
2619,1,1.0,1.0,2,6.24,6,458428
1511,3,2.3,2.0,17,6.51,9,362456
1529,4,2.8,1.0,4,4.15,5,383514
1182,2,1.0,1.5,25,5.22,5,247643
1343,3,2.6,1.0,6,1.31,5,348415
1404,3,3.1,3.0,2,3.77,10,376248
799,3,1.7,1.0,10,3.61,6,236807
1567,6,4.3,2.0,23,26.54,9,383087
2158,3,3.0,1.5,17,6.69,10,470880
1590,5,3.4,1.0,5,1.14,8,417301
2063,3,2.4,1.0,22,0.96,5,378064
3116,2,3.7,1.0,1,5.02,7,628444
3277,2,1.8,2.0,14,0.25,5,592435
1849,5,3.8,2.0,17,3.37,7,426992
2560,1,1.2,1.0,7,1.31,8,539433
1775,2,1.9,1.5,1,8.22,10,402980
1534,3,1.9,1.0,34,2.29,9,355336
1062,4,2.1,2.0,33,25.57,6,211981
1965,3,2.5,1.0,9,18.29,9,441442
2713,1,1.1,2.5,7,21.58,9,517653
944,3,2.1,1.5,5,12.09,5,274011
1685,5,4.6,1.0,9,0.2,3,431777
1648,5,4.5,2.0,12,9.9,6,393693
2085,6,4.9,2.0,29,5.18,8,523747
2097,3,2.1,1.0,2,24.21,4,380703
2303,2,1.0,1.0,26,24.86,10,396066
3323,2,1.4,1.0,35,3.93,10,606768
1247,5,2.8,1.0,4,11.12,3,309246
1206,4,1.8,2.0,43,2.91,6,275737
2086,4,3.3,2.0,47,4.25,5,420004
2990,3,2.8,1.0,26,1.94,9,604067
803,3,1.3,1.0,2,4.35,9,283088
2149,3,2.1,2.0,23,0.31,8,473155
1749,3,2.2,2.0,24,17.51,8,362643
2541,3,2.1,2.0,9,0.5,9,526321
2371,2,1.0,2.0,23,10.23,8,424137
1936,2,2.2,1.0,13,10.7,8,408351
2266,2,1.0,2.0,14,8.65,10,455211
1406,6,3.5,1.5,3,29.99,7,336107
2500,6,3.8,2.0,26,0.45,3,471466
2940,4,3.2,1.0,68,28.8,6,448799
1975,4,,2.0,6,4.41,8,469279
1594,2,1.1,1.0,10,13.54,9,323101
1791,2,1.8,1.0,2,8.84,8,394650
2492,2,1.7,1.0,5,7.51,5,456814
1869,2,1.0,2.0,21,4.6,4,339830
1000,4,3.3,2.0,13,6.24,9,323754
2614,2,2.1,1.0,33,1.11,4,474609
1163,5,3.7,1.0,13,10.33,3,305428
2218,4,2.9,1.0,8,21.1,8,437013
500,2,2.4,2.0,10,0.82,7,203608
1981,4,2.6,1.5,14,5.76,8,467397
1849,4,2.9,2.0,0,2.93,6,428381
450,3,2.4,2.0,5,10.53,7,209974
2150,2,1.5,2.0,22,6.09,5,398545
1074,3,2.1,1.0,34,15.35,6,252745
1964,3,2.3,2.0,5,4.68,4,362727
1591,4,3.8,1.0,6,10.5,8,422556
790,3,2.7,2.0,3,1.07,7,270643
1116,5,3.7,2.0,1,4.92,5,306973
1176,3,1.8,2.5,15,18.39,7,255989
2637,6,4.1,1.0,11,6.04,4,537596
2527,2,2.0,2.0,18,5.12,8,498945
3546,4,2.2,2.0,10,6.65,7,664471
1516,2,2.7,3.0,35,2.81,8,331073
1492,4,3.0,1.0,25,10.08,7,368333
2001,5,3.1,2.0,5,7.64,9,467619
1634,3,2.3,1.0,26,5.63,9,373340
1463,2,1.1,2.5,68,3.47,5,263431
1941,6,4.3,2.0,1,1.14,6,493532
2428,6,3.7,2.0,2,5.06,7,543866
450,4,2.9,1.5,25,5.25,9,219230
1471,3,1.2,2.0,2,3.98,3,312288
