fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
8.94,0.507,0.29,0.9,0.031,7.8,21.9,0.9993,3.44,0.62,9.89,5
8.42,0.681,0.19,3.33,0.012,1.0,53.6,0.9953,3.36,1.1,11.77,6
9.65,0.362,0.35,2.24,0.159,21.4,62.2,0.9968,3.46,0.68,9.69,5
5.63,0.278,0.5,0.9,0.099,6.3,19.1,0.9952,3.5,0.72,10.9,6
6.49,0.474,0.59,6.77,0.142,19.3,44.9,0.9972,3.41,0.67,11.01,5
7.84,0.541,0.13,0.9,0.131,7.4,66.8,0.9973,3.2,0.59,10.66,5
5.85,0.307,0.48,1.15,0.115,23.3,80.4,0.9985,3.26,0.82,9.03,5
7.61,0.28,0.37,3.79,0.072,17.8,21.5,0.9992,3.6,0.46,10.77,6
7.66,0.563,0.46,0.9,0.11,1.0,23.7,0.998,3.36,0.33,9.95,5
10.53,0.394,0.25,1.83,0.154,19.9,88.3,0.9951,3.34,,12.22,6
8.54,0.269,0.23,2.88,0.091,12.9,41.5,0.9941,3.18,0.8,11.62,6
10.05,0.704,0.45,0.9,0.176,30.8,66.4,0.9977,3.3,0.56,9.99,5
8.81,0.416,0.45,1.07,0.017,20.0,72.6,0.9996,3.42,0.69,12.29,6
7.39,0.737,0.57,0.9,0.012,23.8,29.2,0.9967,3.31,0.45,10.77,6
8.53,0.535,0.31,0.9,0.133,8.4,21.6,0.9938,3.23,0.84,8.61,5
9.54,0.583,0.25,0.9,0.049,7.6,33.1,1.0007,3.27,,10.32,6
10.33,0.492,0.0,2.61,0.183,15.6,71.7,0.9976,3.49,0.66,12.15,5
8.08,0.12,0.0,1.19,0.15,12.1,64.5,0.997,3.41,0.69,9.52,6
5.5,0.325,0.2,0.9,0.162,29.9,76.3,0.9945,3.39,0.42,10.33,5
5.38,0.507,0.06,3.27,0.129,14.3,43.5,0.9967,3.38,0.43,8.94,4
7.75,0.596,0.42,1.54,0.044,3.0,57.6,0.998,3.13,0.64,9.11,5
4.6,0.208,0.02,2.41,0.012,7.2,36.2,0.9977,3.35,0.75,9.51,5
11.35,0.52,0.17,0.9,0.157,26.0,69.6,0.9954,3.47,0.76,9.09,5
9.31,0.328,0.18,0.9,0.017,14.1,64.4,0.9966,3.27,0.6,9.74,6
7.22,0.572,0.5,1.77,0.161,13.6,79.5,0.9955,3.46,0.79,12.26,6
6.41,0.527,0.15,1.62,0.118,27.0,57.9,0.9999,,0.9,10.36,5
10.05,0.664,0.36,4.74,0.083,6.3,31.0,0.9984,3.43,0.64,11.24,6
6.41,0.722,0.31,2.73,0.108,1.0,58.9,0.9957,3.32,0.71,11.57,5
